# z N2
0.000000000000000000e+00 3.382755554557561342e-05
2.000000000000000000e+00 3.327950185934434228e-05
4.000000000000000000e+00 3.273144817311306437e-05
6.000000000000000000e+00 3.218339448688179323e-05
8.000000000000000000e+00 3.163534080065052208e-05
1.000000000000000000e+01 3.108728711441924417e-05
1.200000000000000000e+01 3.174538472501281533e-05
1.400000000000000000e+01 3.240348233560638648e-05
1.600000000000000000e+01 3.306157994619995087e-05
1.800000000000000000e+01 3.371967755679352202e-05
2.000000000000000000e+01 3.437777516738708641e-05
2.200000000000000000e+01 3.615985030486625567e-05
2.400000000000000000e+01 3.794192544234541815e-05
2.600000000000000000e+01 3.972400057982458741e-05
2.800000000000000000e+01 4.150607571730374312e-05
3.000000000000000000e+01 4.328815085478291238e-05
3.200000000000000000e+01 4.406063393266030736e-05
3.400000000000000000e+01 4.483311701053769557e-05
3.600000000000000000e+01 4.560560008841508378e-05
3.800000000000000000e+01 4.637808316629247877e-05
4.000000000000000000e+01 4.715056624416987376e-05
4.200000000000000000e+01 4.792304932204725519e-05
4.400000000000000000e+01 4.869553239992465018e-05
4.600000000000000000e+01 4.946801547780204516e-05
4.800000000000000000e+01 5.024049855567943337e-05
5.000000000000000000e+01 5.101298163355682836e-05
5.200000000000000000e+01 4.944519648234835442e-05
5.400000000000000000e+01 4.787741133113987370e-05
5.600000000000000000e+01 4.630962617993139975e-05
5.800000000000000000e+01 4.474184102872292581e-05
6.000000000000000000e+01 4.317405587751444509e-05
6.200000000000000000e+01 4.160627072630597114e-05
6.400000000000000000e+01 4.003848557509749042e-05
6.600000000000000000e+01 3.847070042388901648e-05
6.800000000000000000e+01 3.690291527268054254e-05
7.000000000000000000e+01 3.533513012147206859e-05
7.200000000000000000e+01 3.376734497026358787e-05
7.400000000000000000e+01 3.219955981905511393e-05
7.600000000000000000e+01 3.080702667097086361e-05
7.800000000000000000e+01 2.958974552601085047e-05
8.000000000000000000e+01 2.837246438105083055e-05
8.200000000000000000e+01 2.715518323609081403e-05
8.400000000000000000e+01 2.593790209113079750e-05
8.600000000000000000e+01 2.472062094617078097e-05
8.800000000000000000e+01 2.350333980121075767e-05
9.000000000000000000e+01 2.228605865625074114e-05
9.200000000000000000e+01 2.106877751129072461e-05
9.400000000000000000e+01 1.985149636633070470e-05
9.600000000000000000e+01 1.863421522137068817e-05
9.800000000000000000e+01 1.741693407641066826e-05
1.000000000000000000e+02 1.619965293145065173e-05
1.020000000000000000e+02 1.554688802851919176e-05
1.040000000000000000e+02 1.489412312558772670e-05
1.060000000000000000e+02 1.424135822265626503e-05
1.080000000000000000e+02 1.358859331972479997e-05
1.100000000000000000e+02 1.293582841679333830e-05
1.120000000000000000e+02 1.228306351386187664e-05
1.140000000000000000e+02 1.163029861093041497e-05
1.160000000000000000e+02 1.097753370799895161e-05
1.180000000000000000e+02 1.032476880506748824e-05
1.200000000000000000e+02 9.672003902136024880e-06
1.220000000000000000e+02 9.019238999204563212e-06
1.240000000000000000e+02 8.366474096273101543e-06
1.260000000000000000e+02 7.806944479957734907e-06
1.280000000000000000e+02 7.340650150258465843e-06
1.300000000000000000e+02 6.874355820559196778e-06
1.320000000000000000e+02 6.408061490859927714e-06
1.340000000000000000e+02 5.941767161160658650e-06
1.360000000000000000e+02 5.475472831461390433e-06
1.380000000000000000e+02 5.009178501762120522e-06
1.400000000000000000e+02 4.542884172062850611e-06
1.420000000000000000e+02 4.076589842363581547e-06
1.440000000000000000e+02 3.610295512664312907e-06
1.460000000000000000e+02 3.144001182965043842e-06
1.480000000000000000e+02 2.677706853265773931e-06
1.500000000000000000e+02 2.211412523566505291e-06
1.520000000000000000e+02 2.210444327914569437e-06
1.540000000000000000e+02 2.209476132262633584e-06
1.560000000000000000e+02 2.208507936610697730e-06
1.580000000000000000e+02 2.207539740958762300e-06
1.600000000000000000e+02 2.206571545306826447e-06
1.620000000000000000e+02 2.205603349654891016e-06
1.640000000000000000e+02 2.204635154002954739e-06
1.660000000000000000e+02 2.203666958351018886e-06
1.680000000000000000e+02 2.202698762699083456e-06
1.700000000000000000e+02 2.201730567047147602e-06
1.720000000000000000e+02 2.200762371395212172e-06
1.740000000000000000e+02 2.199794175743275895e-06
1.760000000000000000e+02 2.198825980091340465e-06
